,Fig Index,DOI,Mistake,Fig ID,Journal,Measurand,Absolute/Relative,Measurement Type,Measurand Level I,Measurand Level II,Log transformation
897,10.1038:s41551-023-01045-x_zero_fig1,10.1038:s41551-023-01045-x,zero,1,nat_biomed_eng,Sum of similarity scores of important tokens,Relative,Calculated value,Index,Constant,No
898,10.1038:s41551-023-01045-x_zero_fig2,10.1038:s41551-023-01045-x,zero,2,nat_biomed_eng,AUPRC,Relative,Calculated value,AUC,Prediction metric,No
899,10.1038:s41551-023-01045-x_zero_fig3,10.1038:s41551-023-01045-x,zero,3,nat_biomed_eng,AUROC,Relative,Calculated value,AUC,Prediction metric,No
900,10.1038:s41551-023-01049-7_zero_fig1,10.1038:s41551-023-01049-7,zero,1,nat_biomed_eng,Top-3 accuracy,Relative,Calculated value,Accuracy,Prediction metric,No
901,10.1038:s41551-023-01049-7_zero_fig10,10.1038:s41551-023-01049-7,zero,10,nat_biomed_eng,AUC,Relative,Calculated value,AUC,Prediction metric,No
902,10.1038:s41551-023-01049-7_zero_fig11,10.1038:s41551-023-01049-7,zero,11,nat_biomed_eng,AUC,Relative,Calculated value,AUC,Prediction metric,No
903,10.1038:s41551-023-01049-7_zero_fig12,10.1038:s41551-023-01049-7,zero,12,nat_biomed_eng,Top-3 accuracy,Relative,Calculated value,Accuracy,Prediction metric,No
904,10.1038:s41551-023-01049-7_zero_fig13,10.1038:s41551-023-01049-7,zero,13,nat_biomed_eng,Top-3 accuracy,Relative,Calculated value,Accuracy,Prediction metric,No
905,10.1038:s41551-023-01049-7_zero_fig14,10.1038:s41551-023-01049-7,zero,14,nat_biomed_eng,Top-3 accuracy,Relative,Calculated value,Accuracy,Prediction metric,No
906,10.1038:s41551-023-01049-7_zero_fig15,10.1038:s41551-023-01049-7,zero,15,nat_biomed_eng,AUC,Relative,Calculated value,AUC,Prediction metric,No
907,10.1038:s41551-023-01049-7_zero_fig16,10.1038:s41551-023-01049-7,zero,16,nat_biomed_eng,AUC,Relative,Calculated value,AUC,Prediction metric,No
908,10.1038:s41551-023-01049-7_zero_fig17,10.1038:s41551-023-01049-7,zero,17,nat_biomed_eng,AUC,Relative,Calculated value,AUC,Prediction metric,No
909,10.1038:s41551-023-01049-7_zero_fig2,10.1038:s41551-023-01049-7,zero,2,nat_biomed_eng,AUC,Relative,Calculated value,AUC,Prediction metric,No
910,10.1038:s41551-023-01049-7_zero_fig3,10.1038:s41551-023-01049-7,zero,3,nat_biomed_eng,AUC,Relative,Calculated value,AUC,Prediction metric,No
911,10.1038:s41551-023-01049-7_zero_fig4,10.1038:s41551-023-01049-7,zero,4,nat_biomed_eng,AUC,Relative,Calculated value,AUC,Prediction metric,No
912,10.1038:s41551-023-01049-7_zero_fig5,10.1038:s41551-023-01049-7,zero,5,nat_biomed_eng,AUC,Relative,Calculated value,AUC,Prediction metric,No
913,10.1038:s41551-023-01049-7_zero_fig6,10.1038:s41551-023-01049-7,zero,6,nat_biomed_eng,AUC,Relative,Calculated value,AUC,Prediction metric,No
914,10.1038:s41551-023-01049-7_zero_fig7,10.1038:s41551-023-01049-7,zero,7,nat_biomed_eng,AUC,Relative,Calculated value,AUC,Prediction metric,No
915,10.1038:s41551-023-01049-7_zero_fig8,10.1038:s41551-023-01049-7,zero,8,nat_biomed_eng,AUC,Relative,Calculated value,AUC,Prediction metric,No
916,10.1038:s41551-023-01049-7_zero_fig9,10.1038:s41551-023-01049-7,zero,9,nat_biomed_eng,AUC,Relative,Calculated value,AUC,Prediction metric,No
917,10.1038:s41551-023-01069-3_zero_fig1,10.1038:s41551-023-01069-3,zero,1,nat_biomed_eng,Latency (ms),Absolute,Measured value,Time,Time,No
918,10.1038:s41551-023-01069-3_zero_fig2,10.1038:s41551-023-01069-3,zero,2,nat_biomed_eng,Latency (ms),Absolute,Measured value,Time,Time,No
919,10.1038:s41551-023-01069-3_zero_fig3,10.1038:s41551-023-01069-3,zero,3,nat_biomed_eng,Threshold (dB),Relative,Measured value,Others,Others,No
920,10.1038:s41551-023-01069-3_zero_fig4,10.1038:s41551-023-01069-3,zero,4,nat_biomed_eng,Latency (ms),Absolute,Measured value,Time,Time,No
921,10.1038:s41551-023-01069-3_zero_fig5,10.1038:s41551-023-01069-3,zero,5,nat_biomed_eng,Latency (ms),Absolute,Measured value,Time,Time,No
922,10.1038:s41551-023-01071-9_zero_fig1,10.1038:s41551-023-01071-9,zero,1,nat_biomed_eng,Mitochondrial [Ca2+]m,Absolute,Measured value,Concentration,Concentration,No
923,10.1038:s41551-023-01071-9_zero_fig2,10.1038:s41551-023-01071-9,zero,2,nat_biomed_eng,Mitochondrial [Ca2+]m,Absolute,Measured value,Concentration,Concentration,No
924,10.1038:s41551-023-01071-9_zero_fig3,10.1038:s41551-023-01071-9,zero,3,nat_biomed_eng,MCU gene expression,Relative,Ratio,Ratio,Ratio,No
925,10.1038:s41551-023-01071-9_zero_fig4,10.1038:s41551-023-01071-9,zero,4,nat_biomed_eng,MCU gene expression,Relative,Ratio,Ratio,Ratio,No
926,10.1038:s41551-023-01073-7_zero_fig1,10.1038:s41551-023-01073-7,zero,1,nat_biomed_eng,Osmotic pressure (mOsmol/kg),Absolute,Measured value,Others,Others,No
927,10.1038:s41551-023-01077-3_zero_fig1,10.1038:s41551-023-01077-3,zero,1,nat_biomed_eng,DNA (ng/mg),Absolute,Measured value,Concentration,Concentration,No
928,10.1038:s41551-023-01079-1_zero_fig1,10.1038:s41551-023-01079-1,zero,1,nat_biomed_eng,K_i (nM),Absolute,Measured value,Characteristic concentration,Concentration,No
929,10.1038:s41551-023-01079-1_zero_fig2,10.1038:s41551-023-01079-1,zero,2,nat_biomed_eng,Sequence identity to human germline (%),Relative,Percentage,Percentage,Percentage,No
930,10.1038:s41551-023-01079-1_zero_fig3,10.1038:s41551-023-01079-1,zero,3,nat_biomed_eng,Sequence identity to human germline (%),Relative,Percentage,Percentage,Percentage,No
931,10.1038:s41551-023-01079-1_zero_fig4,10.1038:s41551-023-01079-1,zero,4,nat_biomed_eng,Sequence identity to human germline (%),Relative,Percentage,Percentage,Percentage,No
932,10.1038:s41551-023-01082-6_zero_fig1,10.1038:s41551-023-01082-6,zero,1,nat_biomed_eng,T_em in CD4+ T cells (%),Relative,Percentage,Cell percentage,Percentage,No
933,10.1038:s41551-023-01086-2_zero_fig1,10.1038:s41551-023-01086-2,zero,1,nat_biomed_eng,Percentage Lag3+ of OTI,Relative,Percentage,Percentage,Percentage,No
934,10.1038:s41551-023-01086-2_zero_fig2,10.1038:s41551-023-01086-2,zero,2,nat_biomed_eng,Percentage Lag3+ of OTI,Relative,Percentage,Percentage,Percentage,No
935,10.1038:s41551-023-01086-2_zero_fig3,10.1038:s41551-023-01086-2,zero,3,nat_biomed_eng,%IFNgamma+ of CD8+,Relative,Percentage,Percentage,Percentage,No
936,10.1038:s41551-023-01086-2_zero_fig4,10.1038:s41551-023-01086-2,zero,4,nat_biomed_eng,%Eomes+ of pentamer+,Relative,Percentage,Percentage,Percentage,No
937,10.1038:s41551-023-01086-2_zero_fig5,10.1038:s41551-023-01086-2,zero,5,nat_biomed_eng,%TOX+ of pentamer+,Relative,Percentage,Percentage,Percentage,No
938,10.1038:s41551-023-01089-z_zero_fig1,10.1038:s41551-023-01089-z,zero,1,nat_biomed_eng,K562 counts,Absolute,Measured value,Cell count,Count,No
939,10.1038:s41551-023-01089-z_zero_fig2,10.1038:s41551-023-01089-z,zero,2,nat_biomed_eng,CFSE+ primary NK,Absolute,Measured value,Cell count,Count,No
940,10.1038:s41551-023-01106-1_zero_fig1,10.1038:s41551-023-01106-1,zero,1,nat_biomed_eng,Neural prediction accuracy,Relative,Calculated value,Accuracy,Prediction metric,No
941,10.1038:s41551-023-01106-1_zero_fig10,10.1038:s41551-023-01106-1,zero,10,nat_biomed_eng,Behavior prediction accuracy,Relative,Calculated value,Accuracy,Prediction metric,No
942,10.1038:s41551-023-01106-1_zero_fig11,10.1038:s41551-023-01106-1,zero,11,nat_biomed_eng,Behavior prediction accuracy,Relative,Calculated value,Accuracy,Prediction metric,No
943,10.1038:s41551-023-01106-1_zero_fig2,10.1038:s41551-023-01106-1,zero,2,nat_biomed_eng,Behavior prediction accuracy,Relative,Calculated value,Accuracy,Prediction metric,No
944,10.1038:s41551-023-01106-1_zero_fig3,10.1038:s41551-023-01106-1,zero,3,nat_biomed_eng,Behavior prediction accuracy,Relative,Calculated value,Accuracy,Prediction metric,No
945,10.1038:s41551-023-01106-1_zero_fig4,10.1038:s41551-023-01106-1,zero,4,nat_biomed_eng,Behavior prediction accuracy,Relative,Calculated value,Accuracy,Prediction metric,No
946,10.1038:s41551-023-01106-1_zero_fig5,10.1038:s41551-023-01106-1,zero,5,nat_biomed_eng,Neural prediction accuracy,Relative,Calculated value,Accuracy,Prediction metric,No
947,10.1038:s41551-023-01106-1_zero_fig6,10.1038:s41551-023-01106-1,zero,6,nat_biomed_eng,Behavior prediction accuracy,Relative,Calculated value,Accuracy,Prediction metric,No
948,10.1038:s41551-023-01106-1_zero_fig7,10.1038:s41551-023-01106-1,zero,7,nat_biomed_eng,Behavior prediction accuracy,Relative,Calculated value,Accuracy,Prediction metric,No
949,10.1038:s41551-023-01106-1_zero_fig8,10.1038:s41551-023-01106-1,zero,8,nat_biomed_eng,Behavior prediction accuracy,Relative,Calculated value,Accuracy,Prediction metric,No
950,10.1038:s41551-023-01106-1_zero_fig9,10.1038:s41551-023-01106-1,zero,9,nat_biomed_eng,Behavior prediction accuracy,Relative,Calculated value,Accuracy,Prediction metric,No
951,10.1038:s41551-023-01113-2_zero_fig1,10.1038:s41551-023-01113-2,zero,1,nat_biomed_eng,Body temperature (°C),Relative,Measured value,Temperature,Temperature,No
952,10.1038:s41551-023-01129-8_zero_fig1,10.1038:s41551-023-01129-8,zero,1,nat_biomed_eng,AUC,Relative,Calculated value,AUC,Prediction metric,No
953,10.1038:s41551-023-01134-x_zero_fig1,10.1038:s41551-023-01134-x,zero,1,nat_biomed_eng,RPKM,Absolute,Measured value,Count,Count,No
954,10.1038:s41551-023-01134-x_zero_fig2,10.1038:s41551-023-01134-x,zero,2,nat_biomed_eng,Relative expression,Relative,Ratio,Ratio,Ratio,No
955,10.1038:s41551-023-01134-x_zero_fig3,10.1038:s41551-023-01134-x,zero,3,nat_biomed_eng,Normalized force,Absolute,Measured value,Others,Others,No
956,10.1038:s41551-023-01134-x_zero_fig4,10.1038:s41551-023-01134-x,zero,4,nat_biomed_eng,Normalized force,Absolute,Measured value,Others,Others,No
957,10.1038:s41551-023-01134-x_zero_fig5,10.1038:s41551-023-01134-x,zero,5,nat_biomed_eng,Normalized force,Absolute,Measured value,Others,Others,No
958,10.1038:s41551-023-01136-9_zero_fig1,10.1038:s41551-023-01136-9,zero,1,nat_biomed_eng,Length of colon (cm),Absolute,Measured value,Colon length,Length,No
959,10.1038:s41551-023-01136-9_zero_fig10,10.1038:s41551-023-01136-9,zero,10,nat_biomed_eng,Length of colon (cm),Absolute,Measured value,Colon length,Length,No
960,10.1038:s41551-023-01136-9_zero_fig11,10.1038:s41551-023-01136-9,zero,11,nat_biomed_eng,Length of colon (cm),Absolute,Measured value,Colon length,Length,No
961,10.1038:s41551-023-01136-9_zero_fig12,10.1038:s41551-023-01136-9,zero,12,nat_biomed_eng,Length of colon (cm),Absolute,Measured value,Colon length,Length,No
962,10.1038:s41551-023-01136-9_zero_fig2,10.1038:s41551-023-01136-9,zero,2,nat_biomed_eng,Length of colon (cm),Absolute,Measured value,Colon length,Length,No
963,10.1038:s41551-023-01136-9_zero_fig3,10.1038:s41551-023-01136-9,zero,3,nat_biomed_eng,Length of colon (cm),Absolute,Measured value,Colon length,Length,No
964,10.1038:s41551-023-01136-9_zero_fig4,10.1038:s41551-023-01136-9,zero,4,nat_biomed_eng,Length of colon (cm),Absolute,Measured value,Colon length,Length,No
965,10.1038:s41551-023-01136-9_zero_fig5,10.1038:s41551-023-01136-9,zero,5,nat_biomed_eng,Length of colon (cm),Absolute,Measured value,Colon length,Length,No
966,10.1038:s41551-023-01136-9_zero_fig6,10.1038:s41551-023-01136-9,zero,6,nat_biomed_eng,Length of colon at the endpoint (cm),Absolute,Measured value,Colon length,Length,No
967,10.1038:s41551-023-01136-9_zero_fig7,10.1038:s41551-023-01136-9,zero,7,nat_biomed_eng,Length of colon (cm),Absolute,Measured value,Colon length,Length,No
968,10.1038:s41551-023-01136-9_zero_fig8,10.1038:s41551-023-01136-9,zero,8,nat_biomed_eng,Length of colon (cm),Absolute,Measured value,Colon length,Length,No
969,10.1038:s41551-023-01136-9_zero_fig9,10.1038:s41551-023-01136-9,zero,9,nat_biomed_eng,Length of colon (cm),Absolute,Measured value,Colon length,Length,No
970,10.1038:s41551-023-01138-7_zero_fig1,10.1038:s41551-023-01138-7,zero,1,nat_biomed_eng,Insulin release (µg/mL),Absolute,Measured value,Concentration,Concentration,No
971,10.1038:s41551-023-01153-8_zero_fig1,10.1038:s41551-023-01153-8,zero,1,nat_biomed_eng,McGill pain score,Relative,Calculated value,Index,Constant,No
972,10.1038:s41551-023-01160-9_zero_fig1,10.1038:s41551-023-01160-9,zero,1,nat_biomed_eng,ROC-AUC,Relative,Calculated value,AUC,Prediction metric,No
973,10.1038:s41587-022-01650-2_zero_fig1,10.1038:s41587-022-01650-2,zero,1,nat_biotechnol,Pearson correlation coefficient,Absolute,Measured value,Statistics,Statistics,No
974,10.1038:s41587-022-01652-0_zero_fig1,10.1038:s41587-022-01652-0,zero,1,nat_biotechnol,Percent modC at CpG,Relative,Percentage,Percentage,Percentage,No
975,10.1038:s41587-022-01652-0_zero_fig2,10.1038:s41587-022-01652-0,zero,2,nat_biotechnol,modC specificity,Relative,Ratio,Ratio,Ratio,No
976,10.1038:s41587-022-01652-0_zero_fig3,10.1038:s41587-022-01652-0,zero,3,nat_biotechnol,modC specificity,Relative,Ratio,Ratio,Ratio,No
977,10.1038:s41587-023-01674-2_zero_fig1,10.1038:s41587-023-01674-2,zero,1,nat_biotechnol,Average relative ab. (log10),Absolute,Measured value,Count,Count,10
978,10.1038:s41587-023-01763-2_zero_fig1,10.1038:s41587-023-01763-2,zero,1,nat_biotechnol,Spearman r,Absolute,Measured value,Statistics,Statistics,No
979,10.1038:s41587-023-01774-z_zero_fig1,10.1038:s41587-023-01774-z,zero,1,nat_biotechnol,Compressive modulus (MPa),Absolute,Measured value,Others,Others,No
980,10.1038:s41587-023-01774-z_zero_fig2,10.1038:s41587-023-01774-z,zero,2,nat_biotechnol,Encapsulation efficiency (%),Relative,Percentage,Percentage,Percentage,No
981,10.1038:s41587-023-01800-0_zero_fig1,10.1038:s41587-023-01800-0,zero,1,nat_biotechnol,Score,Relative,Calculated value,Index,Constant,No
982,10.1038:s41587-023-01800-0_zero_fig2,10.1038:s41587-023-01800-0,zero,2,nat_biotechnol,Score,Relative,Calculated value,Index,Constant,No
983,10.1038:s41587-023-01831-7_zero_fig1,10.1038:s41587-023-01831-7,zero,1,nat_biotechnol,Fraction of m6A peaks with RRACH,Relative,Percentage,Percentage,Percentage,No
984,10.1038:s41587-023-01857-x_zero_fig1,10.1038:s41587-023-01857-x,zero,1,nat_biotechnol,Protein sizes (aa),Absolute,Measured value,Count,Count,No
985,10.1038:s41587-023-01935-0_zero_fig1,10.1038:s41587-023-01935-0,zero,1,nat_biotechnol,Cell-type matching accuracy,Relative,Calculated value,Accuracy,Prediction metric,No
986,10.1038:s41587-023-01935-0_zero_fig2,10.1038:s41587-023-01935-0,zero,2,nat_biotechnol,Cell-type matching accuracy,Relative,Calculated value,Accuracy,Prediction metric,No
987,10.1038:s41587-023-01935-0_zero_fig3,10.1038:s41587-023-01935-0,zero,3,nat_biotechnol,Cell-type matching accuracy,Relative,Calculated value,Accuracy,Prediction metric,No
988,10.1038:s41587-023-01949-8_zero_fig1,10.1038:s41587-023-01949-8,zero,1,nat_biotechnol,% UMIs matching genotype in short/long read,Relative,Percentage,Percentage,Percentage,No
989,10.1038:s41587-023-01954-x_zero_fig1,10.1038:s41587-023-01954-x,zero,1,nat_biotechnol,p(K+)/p(Cl-),Relative,Ratio,Ratio,Ratio,No
990,10.1038:s41587-023-01957-8_zero_fig1,10.1038:s41587-023-01957-8,zero,1,nat_biotechnol,CD206+/CD11b+F4/80+ cells,Relative,Percentage,Cell percentage,Percentage,No
991,10.1038:s43018-023-00513-2_zero_fig1,10.1038:s43018-023-00513-2,zero,1,nat_cancer,log2 fold change mRNA of AT2 cells (from primary tumor vs healthy mice),Relative,Ratio,Ratio,Ratio,2
992,10.1038:s43018-023-00513-2_zero_fig2,10.1038:s43018-023-00513-2,zero,2,nat_cancer,log2 fold change mRNA of AT2 cells (from primary tumor vs healthy mice),Relative,Ratio,Ratio,Ratio,2
993,10.1038:s43018-023-00524-z_zero_fig1,10.1038:s43018-023-00524-z,zero,1,nat_cancer,LDH release (% of control),Relative,Percentage,Percentage,Percentage,No
994,10.1038:s43018-023-00563-6_zero_fig1,10.1038:s43018-023-00563-6,zero,1,nat_cancer,Relative GSH/GSSG ratio,Relative,Ratio,Ratio,Ratio,No
995,10.1038:s43018-023-00573-4_zero_fig1,10.1038:s43018-023-00573-4,zero,1,nat_cancer,Viable cell %,Relative,Percentage,Cell viability,Percentage,No
996,10.1038:s43018-023-00594-z_zero_fig1,10.1038:s43018-023-00594-z,zero,1,nat_cancer,Percentage of CD45+ CD11b+ Ly6G^high/Ly6C^low cells,Relative,Percentage,Cell percentage,Percentage,No
997,10.1038:s43018-023-00594-z_zero_fig2,10.1038:s43018-023-00594-z,zero,2,nat_cancer,Percentage of proliferating CD8+ T cells,Relative,Percentage,Cell percentage,Percentage,No
998,10.1038:s43018-023-00610-2_zero_fig1,10.1038:s43018-023-00610-2,zero,1,nat_cancer,Fold change in expression,Relative,Ratio,Ratio,Ratio,No
999,10.1038:s43018-023-00610-2_zero_fig2,10.1038:s43018-023-00610-2,zero,2,nat_cancer,"Cytokine level, log2 (pg/mL)",Absolute,Measured value,Cytokine concentration,Concentration,2
1000,10.1038:s43018-023-00610-2_zero_fig3,10.1038:s43018-023-00610-2,zero,3,nat_cancer,"Cytokine level, log2 (pg/mL)",Absolute,Measured value,Cytokine concentration,Concentration,2
1001,10.1038:s43018-023-00635-7_zero_fig1,10.1038:s43018-023-00635-7,zero,1,nat_cancer,Fold change,Relative,Ratio,Ratio,Ratio,No
1002,10.1038:s43018-023-00635-7_zero_fig2,10.1038:s43018-023-00635-7,zero,2,nat_cancer,Relative levels (%),Relative,Percentage,Percentage,Percentage,No
1003,10.1038:s43018-023-00635-7_zero_fig3,10.1038:s43018-023-00635-7,zero,3,nat_cancer,Relative levels (%),Relative,Percentage,Percentage,Percentage,No
1004,10.1038:s43018-023-00635-7_zero_fig4,10.1038:s43018-023-00635-7,zero,4,nat_cancer,Glucose absorbance (1e-1),Absolute,Measured value,Others,Others,No
1005,10.1038:s43018-023-00635-7_zero_fig5,10.1038:s43018-023-00635-7,zero,5,nat_cancer,Fold change,Relative,Ratio,Ratio,Ratio,No
1006,10.1038:s41556-022-01055-y_zero_fig1,10.1038:s41556-022-01055-y,zero,1,nat_cell_biol,LPAR4 mRNA (log2 FC) normalized to control,Relative,Ratio,Ratio,Ratio,No
1007,10.1038:s41556-022-01055-y_zero_fig2,10.1038:s41556-022-01055-y,zero,2,nat_cell_biol,Relative cell viability,Relative,Percentage,Cell viability,Percentage,No
1008,10.1038:s41556-022-01055-y_zero_fig3,10.1038:s41556-022-01055-y,zero,3,nat_cell_biol,Relative MitoSOC level (fold versus sh-CTRL),Relative,Ratio,Ratio,Ratio,No
1009,10.1038:s41556-022-01058-9_zero_fig1,10.1038:s41556-022-01058-9,zero,1,nat_cell_biol,Daughter size ratio,Relative,Ratio,Ratio,Ratio,No
1010,10.1038:s41556-022-01058-9_zero_fig10,10.1038:s41556-022-01058-9,zero,10,nat_cell_biol,Daughter size ratio,Relative,Ratio,Ratio,Ratio,No
1011,10.1038:s41556-022-01058-9_zero_fig2,10.1038:s41556-022-01058-9,zero,2,nat_cell_biol,Pole size ratio,Relative,Ratio,Ratio,Ratio,No
1012,10.1038:s41556-022-01058-9_zero_fig3,10.1038:s41556-022-01058-9,zero,3,nat_cell_biol,Daughter size ratio,Relative,Ratio,Ratio,Ratio,No
1013,10.1038:s41556-022-01058-9_zero_fig4,10.1038:s41556-022-01058-9,zero,4,nat_cell_biol,Daughter size ratio,Relative,Ratio,Ratio,Ratio,No
1014,10.1038:s41556-022-01058-9_zero_fig5,10.1038:s41556-022-01058-9,zero,5,nat_cell_biol,Daughter size ratio,Relative,Ratio,Ratio,Ratio,No
1015,10.1038:s41556-022-01058-9_zero_fig6,10.1038:s41556-022-01058-9,zero,6,nat_cell_biol,Daughter size ratio,Relative,Ratio,Ratio,Ratio,No
1016,10.1038:s41556-022-01058-9_zero_fig7,10.1038:s41556-022-01058-9,zero,7,nat_cell_biol,Daughter size ratio,Relative,Ratio,Ratio,Ratio,No
1017,10.1038:s41556-022-01058-9_zero_fig8,10.1038:s41556-022-01058-9,zero,8,nat_cell_biol,Cortical thickness (µm),Absolute,Measured value,Length,Length,No
1018,10.1038:s41556-022-01058-9_zero_fig9,10.1038:s41556-022-01058-9,zero,9,nat_cell_biol,Daughter size ratio,Relative,Ratio,Ratio,Ratio,No
1019,10.1038:s41556-022-01059-8_zero_fig1,10.1038:s41556-022-01059-8,zero,1,nat_cell_biol,log(bioluminescence) ex vivo,Relative,Calculated value,Relative luminescence,Bioluminescence,10
1020,10.1038:s41556-022-01059-8_zero_fig2,10.1038:s41556-022-01059-8,zero,2,nat_cell_biol,Fold increase SOX11,Relative,Ratio,Ratio,Ratio,No
1021,10.1038:s41556-022-01059-8_zero_fig3,10.1038:s41556-022-01059-8,zero,3,nat_cell_biol,Fold increase SOX11,Relative,Ratio,Ratio,Ratio,No
1022,10.1038:s41556-022-01059-8_zero_fig4,10.1038:s41556-022-01059-8,zero,4,nat_cell_biol,log(bioluminescence) ex vivo,Relative,Calculated value,Relative luminescence,Bioluminescence,10
1023,10.1038:s41556-023-01093-0_zero_fig1,10.1038:s41556-023-01093-0,zero,1,nat_cell_biol,Relative SMARCD3 mRNA level,Relative,Ratio,Ratio,Ratio,No
1024,10.1038:s41556-023-01093-0_zero_fig2,10.1038:s41556-023-01093-0,zero,2,nat_cell_biol,Relative mRNA level of SMARCD3,Relative,Ratio,Ratio,Ratio,No
1025,10.1038:s41556-023-01093-0_zero_fig3,10.1038:s41556-023-01093-0,zero,3,nat_cell_biol,Relative mRNA level of SMARCD3,Relative,Ratio,Ratio,Ratio,No
1026,10.1038:s41556-023-01117-9_zero_fig1,10.1038:s41556-023-01117-9,zero,1,nat_cell_biol,Rank,Absolute,Measured value,Constant,Constant,No
1027,10.1038:s41556-023-01117-9_zero_fig2,10.1038:s41556-023-01117-9,zero,2,nat_cell_biol,Rank,Absolute,Measured value,Constant,Constant,No
1028,10.1038:s41556-023-01152-6_zero_fig1,10.1038:s41556-023-01152-6,zero,1,nat_cell_biol,log(CFU)/lung,Absolute,Measured value,Titer,Concentration,10
1029,10.1038:s41556-023-01152-6_zero_fig2,10.1038:s41556-023-01152-6,zero,2,nat_cell_biol,log(CFU)/lung,Absolute,Measured value,Titer,Concentration,10
1030,10.1038:s41556-023-01162-4_zero_fig1,10.1038:s41556-023-01162-4,zero,1,nat_cell_biol,FA concentration of hearts (nmol/g),Absolute,Measured value,Concentration,Concentration,No
1031,10.1038:s41556-023-01162-4_zero_fig2,10.1038:s41556-023-01162-4,zero,2,nat_cell_biol,FS (%),Relative,Percentage,Percentage,Percentage,No
1032,10.1038:s41556-023-01162-4_zero_fig3,10.1038:s41556-023-01162-4,zero,3,nat_cell_biol,EF (%),Relative,Percentage,Percentage,Percentage,No
1033,10.1038:s41556-023-01162-4_zero_fig4,10.1038:s41556-023-01162-4,zero,4,nat_cell_biol,EF (%),Relative,Percentage,Percentage,Percentage,No
1034,10.1038:s41556-023-01162-4_zero_fig5,10.1038:s41556-023-01162-4,zero,5,nat_cell_biol,FA concentration of hearts (nmol/g),Absolute,Measured value,Concentration,Concentration,No
1035,10.1038:s41556-023-01162-4_zero_fig6,10.1038:s41556-023-01162-4,zero,6,nat_cell_biol,FS (%),Relative,Percentage,Percentage,Percentage,No
1036,10.1038:s41556-023-01162-4_zero_fig7,10.1038:s41556-023-01162-4,zero,7,nat_cell_biol,EF (%),Relative,Percentage,Percentage,Percentage,No
1037,10.1038:s41556-023-01182-0_zero_fig1,10.1038:s41556-023-01182-0,zero,1,nat_cell_biol,LDH (µg/mL),Absolute,Measured value,Concentration,Concentration,No
1038,10.1038:s41556-023-01193-x_zero_fig1,10.1038:s41556-023-01193-x,zero,1,nat_cell_biol,log2(RPKM + 1),Absolute,Measured value,Count,Count,2
1039,10.1038:s41556-023-01193-x_zero_fig10,10.1038:s41556-023-01193-x,zero,10,nat_cell_biol,log2(RPKM + 1),Absolute,Measured value,Count,Count,2
1040,10.1038:s41556-023-01193-x_zero_fig11,10.1038:s41556-023-01193-x,zero,11,nat_cell_biol,log2(RPKM + 1),Absolute,Measured value,Count,Count,2
1041,10.1038:s41556-023-01193-x_zero_fig12,10.1038:s41556-023-01193-x,zero,12,nat_cell_biol,log2(RPKM + 1),Absolute,Measured value,Count,Count,2
1042,10.1038:s41556-023-01193-x_zero_fig13,10.1038:s41556-023-01193-x,zero,13,nat_cell_biol,log2(RPKM + 1),Absolute,Measured value,Count,Count,2
1043,10.1038:s41556-023-01193-x_zero_fig14,10.1038:s41556-023-01193-x,zero,14,nat_cell_biol,log2(RPKM + 1),Absolute,Measured value,Count,Count,2
1044,10.1038:s41556-023-01193-x_zero_fig15,10.1038:s41556-023-01193-x,zero,15,nat_cell_biol,log2(RPKM + 1),Absolute,Measured value,Count,Count,2
1045,10.1038:s41556-023-01193-x_zero_fig16,10.1038:s41556-023-01193-x,zero,16,nat_cell_biol,log2(RPKM + 1),Absolute,Measured value,Count,Count,2
1046,10.1038:s41556-023-01193-x_zero_fig17,10.1038:s41556-023-01193-x,zero,17,nat_cell_biol,log2(RPKM + 1),Absolute,Measured value,Count,Count,2
1047,10.1038:s41556-023-01193-x_zero_fig18,10.1038:s41556-023-01193-x,zero,18,nat_cell_biol,log2(RPKM + 1),Absolute,Measured value,Count,Count,2
1048,10.1038:s41556-023-01193-x_zero_fig19,10.1038:s41556-023-01193-x,zero,19,nat_cell_biol,log2(RPKM + 1),Absolute,Measured value,Count,Count,2
1049,10.1038:s41556-023-01193-x_zero_fig2,10.1038:s41556-023-01193-x,zero,2,nat_cell_biol,log2(RPKM + 1),Absolute,Measured value,Count,Count,2
1050,10.1038:s41556-023-01193-x_zero_fig20,10.1038:s41556-023-01193-x,zero,20,nat_cell_biol,log2(RPKM + 1),Absolute,Measured value,Count,Count,2
1051,10.1038:s41556-023-01193-x_zero_fig21,10.1038:s41556-023-01193-x,zero,21,nat_cell_biol,log2(RPKM + 1),Absolute,Measured value,Count,Count,2
1052,10.1038:s41556-023-01193-x_zero_fig22,10.1038:s41556-023-01193-x,zero,22,nat_cell_biol,log2(RPKM + 1),Absolute,Measured value,Count,Count,2
1053,10.1038:s41556-023-01193-x_zero_fig23,10.1038:s41556-023-01193-x,zero,23,nat_cell_biol,log2(RPKM + 1),Absolute,Measured value,Count,Count,2
1054,10.1038:s41556-023-01193-x_zero_fig24,10.1038:s41556-023-01193-x,zero,24,nat_cell_biol,log2(RPKM + 1),Absolute,Measured value,Count,Count,2
1055,10.1038:s41556-023-01193-x_zero_fig25,10.1038:s41556-023-01193-x,zero,25,nat_cell_biol,log2(RPKM + 1),Absolute,Measured value,Count,Count,2
